iter	MAE	RMSE
122	0.2159181349	0.2773143671
123	0.2134326519	0.2737661585
124	0.2111634736	0.2703639445
125	0.2073065503	0.2659883674
126	0.2045235775	0.263400692
127	0.2019783624	0.2597588094
128	0.1999312863	0.2560328312
129	0.1985417923	0.2538305979
130	0.196332195	0.2505233216
131	0.1939097867	0.2464604743
132	0.1914849234	0.2425845561
133	0.1890710132	0.2402714462
134	0.1852762581	0.2355929214
135	0.1822059178	0.2313718557
136	0.1775685301	0.2261953247
137	0.1755436246	0.2230360679
138	0.1737508868	0.2206466443
139	0.1711000499	0.2174645713
140	0.1682551544	0.2132934562
141	0.1655293455	0.2104564928
142	0.1634229906	0.2070575186
143	0.1604582343	0.2035765441
144	0.1583723314	0.2010863384
145	0.155848031	0.1968917722
146	0.1531902823	0.1939852132
147	0.1525166389	0.1923978368
148	0.1497867886	0.1892609447
149	0.1466348006	0.184924896
150	0.1441800618	0.182104311
151	0.1421852206	0.1800497987
152	0.1414379271	0.179112019
153	0.1394274872	0.1764241932
154	0.1369006752	0.1734589963
155	0.1351700396	0.1711825647
156	0.1330467828	0.1682666839
157	0.130940409	0.1657437551
158	0.1290824626	0.1632642232
159	0.1264271122	0.1596757968
160	0.1253543231	0.1582412068
161	0.1233298991	0.1551582341
162	0.120270814	0.1517593319
163	0.1181702378	0.1492974526
164	0.1160776308	0.1468547427
165	0.1151427656	0.1454526599
166	0.1136216456	0.1437358903
167	0.1123160183	0.1423474402
168	0.1110202393	0.1404648888
169	0.1100361135	0.1393085801
170	0.1084656763	0.1375837059
171	0.1074930134	0.1362340989
172	0.1060096627	0.1345961895
173	0.1048319033	0.1329577568
174	0.1034972502	0.1307183102
175	0.1026884117	0.129875915
176	0.1015799022	0.1285629944
177	0.099080454	0.1257014188
178	0.09703407665	0.1236618957
179	0.09576916459	0.1220031916
180	0.09455280493	0.1203330657
181	0.09359272872	0.1191231978
182	0.09230396535	0.117192002
183	0.09030423306	0.1146948369
184	0.08956754326	0.1136703918
185	0.08806136103	0.1113407087
186	0.08683448263	0.1098831008
187	0.08511934186	0.1076487565
188	0.08429043836	0.1062444093
189	0.08299057082	0.1049185581
190	0.08149817438	0.1030255222
191	0.08003298127	0.1011559571
192	0.07851992031	0.09907278791
193	0.07793676735	0.09811801927
194	0.07672350477	0.09660637357
195	0.07559595014	0.09540498318
196	0.07528948548	0.09497315761
197	0.0739691045	0.09330507967
198	0.07234673925	0.09128549784
199	0.07123944783	0.09005802727
